integrated_management_brief_id,decision_package_id,scenario_readiness,baseline_summary,conservative_summary,expected_summary,higher_intensity_summary,comparator_completeness,comparator_consistency,scenario_validation_status,scenario_confidence
IMB-E896C962,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260413,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7C1CF550,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260421,1.0,Baseline value: 76.92307692307693,Estimated impact: 15.384615384615373%,Estimated impact: 23.076923076923062%,Estimated impact: 23.076923076923062%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-55A74C12,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260502,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0A9294CB,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260510,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-86EFDEA0,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260515,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6725EF95,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260521,1.0,Baseline value: 75.0,Estimated impact: 16.666666666666657%,Estimated impact: 25.0%,Estimated impact: 25.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-B891715F,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260623,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D057EAE6,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260710,1.0,Baseline value: 82.84860972360973,Estimated impact: 16.161291266489286%,Estimated impact: 17.151390276390273%,Estimated impact: 17.151390276390273%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-23C00AEC,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260727,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5A6E4713,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260813,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B43D0E86,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20260915,1.0,Baseline value: 72.72727272727273,Estimated impact: 18.181818181818173%,Estimated impact: 27.272727272727263%,Estimated impact: 27.272727272727263%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-C401C8A4,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261024,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C1223CB4,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261110,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-62B3BEC9,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_001-20261229,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F98C3B1A,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260103,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-BCEAEA0F,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260209,1.0,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-29DA0441,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260221,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2260F12B,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260302,1.0,Baseline value: 20.555555555555557,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-51EE0234,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260328,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-F823ED18,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260406,1.0,Baseline value: 20.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-FC4A86D5,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260416,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-F7E0CD5B,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260424,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-46B596F0,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260430,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B153EAEC,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260519,1.0,Baseline value: 16.666666666666664,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-1D017F60,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260529,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1F247173,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260603,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-7A5A568B,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260613,1.0,Baseline value: 16.102564102564102,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-9A7B75E9,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260704,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2207CA95,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260708,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-919D58F4,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260719,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2EC732D3,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260728,1.0,Baseline value: 20.94017094017094,Estimated impact: -9.999999999999998%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-5A25FB5E,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260911,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C9EC0273,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20260925,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9EE286A6,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20261010,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DECBBCBA,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20261018,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E052EAC5,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20261025,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-A8DD9275,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20261104,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-0DAA603C,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_002-20261214,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-B61916EB,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260121,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C7EB2C4D,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260202,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DEF42196,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260215,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0F75E8A3,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260301,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-19AE68D0,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260306,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-49E16A72,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260314,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-14DA5FA1,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260321,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D007BBEA,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260401,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8C7D2658,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260417,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-99B2787D,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260422,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4A9317D1,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260427,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0CCDF8E3,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260506,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E4BECDCF,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260522,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7B2710AE,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260604,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-E3BF1A90,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260609,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A10C4340,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260702,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-8D0EBE98,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260805,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C270F775,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260811,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-21BAE1F6,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20260823,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-704E3A6B,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20261003,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-13971398,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20261028,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D09F9D92,DPKG-PKG-EP-HOSP-001-DEPT-PEX-kpi_006-20261231,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-38083043,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260127,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B72E9A7C,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260131,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-39EBEF14,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260209,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4EBA6A1A,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260301,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-1C93F6E5,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260305,1.0,Baseline value: 70.0,Estimated impact: 20.0%,Estimated impact: 30.0%,Estimated impact: 30.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-DF301168,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260311,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5544B70E,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260401,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-EE54FB27,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260411,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-70C4774D,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260415,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-EE94CFFD,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260429,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A97FA1DE,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260504,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-6F9B99A9,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260517,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A20EC2B8,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260521,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FD00CEA9,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260529,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AA67F2B5,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260606,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2334E7D5,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260613,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-3605BFA0,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260618,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-B41D525C,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260702,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-4C9C05A5,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260709,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-6F627747,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260726,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7A39B7B9,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260802,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-DD152564,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260822,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5E7EEE28,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260903,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-493ECBEF,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260916,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D37F561B,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20260929,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-4C3DE157,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261020,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-850E9522,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261026,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F6CF713B,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261111,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-47564E17,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261127,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9C6F7B27,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_001-20261203,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-C01B690C,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260120,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9E4CA3AE,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260125,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-E83A65A3,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260214,1.0,Baseline value: 18.181818181818183,Estimated impact: -9.999999999999991%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-43AE7423,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260226,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-8122725A,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260304,1.0,Baseline value: 15.384615384615383,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-24431709,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260314,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-CF644B2D,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260319,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9A563F16,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260422,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-2B7E0C28,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260502,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-25673786,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260509,1.0,Baseline value: 16.536796536796537,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-824FD581,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260602,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-FEB0D3F0,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260621,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-A99249FB,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260704,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-9C7E6060,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260724,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-D24AABFA,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260824,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-5F092CDC,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260908,1.0,Baseline value: 30.0,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-821A8D96,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20260912,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-300F2670,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261004,1.0,Baseline value: 15.09920634920635,Estimated impact: -9.999999999999996%,Estimated impact: -19.999999999999996%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-817F1E61,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261018,1.0,Baseline value: 17.994505494505493,Estimated impact: -9.99999999999999%,Estimated impact: -20.0%,Estimated impact: -35.0%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-99CB09FD,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261030,1.0,Baseline value: 24.722222222222214,Estimated impact: -10.0%,Estimated impact: -20.0%,Estimated impact: -34.99999999999999%,4/4 present,Consistent,Valid with Conditions,Insufficient Evidence
IMB-6C1FBE0B,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261219,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-011F0FD8,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_002-20261230,1.0,,,,,4/4 present,Consistent,Valid with Conditions,
IMB-4DAFB72C,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260407,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C3651C87,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260516,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7C992E13,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260526,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-DE8CAE57,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260530,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1EE81D52,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260604,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4652D90D,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260608,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-4E556BA3,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260623,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9019ECDB,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260627,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FCF9325A,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260708,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-714D4F4E,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260714,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-D4D27EA4,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_003-20260730,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1DB119D2,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260217,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-88F660B3,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260223,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-29DC7418,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260414,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-1F38C247,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260428,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-AC4C0B5E,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260609,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7E93BD04,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260701,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-F3B08CAA,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260705,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-693FAE9C,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260727,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-53E17EB9,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260731,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0A01F4D7,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260814,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-C4231D7F,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260906,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-0FC7F4F6,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260914,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-7939189A,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20260927,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-84A5A846,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261005,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-23A28C2A,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261009,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-58ED2471,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261105,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-3F7D5C7E,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261117,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-5DCC1A6E,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261121,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-FF8C3E75,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261202,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-A01F9AFE,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261208,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-9F81A7DA,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261214,0.0,,,,,,Inconsistent or Not Assessed,,
IMB-717ECEE5,DPKG-PKG-EP-HOSP-001-DEPT-SURG-kpi_006-20261226,0.0,,,,,,Inconsistent or Not Assessed,,
